tam_vet,tipo_busca,alvo,mili,nano;seg
89,Linear,88,0.001125,1125,0
89,Binary,88,0.000257,257,0
89,Ternary,88,0.000221,221,0
90,Linear,79,0.001025,1025,0
90,Binary,79,0.000136,136,0
90,Ternary,79,0.000136,136,0
91,Linear,21,0.000383,383,0
91,Binary,21,0.000263,263,0
91,Ternary,21,0.000277,277,0
92,Linear,28,0.000492,492,0
92,Binary,28,0.000221,221,0
92,Ternary,28,0.000231,231,0
93,Linear,32,0.000552,552,0
93,Binary,32,0.000263,263,0
93,Ternary,32,0.000244,244,0
94,Linear,48,0.000693,693,0
94,Binary,48,0.000269,269,0
94,Ternary,48,0.000239,239,0
95,Linear,56,0.000787,787,0
95,Binary,56,0.000179,179,0
95,Ternary,56,0.000265,265,0
96,Linear,81,0.001056,1056,0
96,Binary,81,0.00021,210,0
96,Ternary,81,0.000259,259,0
97,Linear,39,0.000568,568,0
97,Binary,39,0.000241,241,0
97,Ternary,39,0.000244,244,0
98,Linear,82,0.001074,1074,0
98,Binary,82,0.000211,211,0
98,Ternary,82,0.000227,227,0
99,Linear,26,0.00043,430,0
99,Binary,26,0.000269,269,0
99,Ternary,26,0.000245,245,0
100,Linear,41,0.000897,897,0
100,Binary,41,0.000359,359,0
100,Ternary,41,0.000289,289,0
